Year,Location,Irrigation,Crop Type,Crop Damage,Yield,Observer
2003.0,Andersonport,Y,Wheat,0.0,958.35,Vanessa Coleman
2003.0,Josephfurt,N,Oats,0.0,1483.62,Stephanie Smith
2004.0,Josephfurt,N,Wheat,1.0,783.18,Stephanie Smith
2004.0,Williamhaven,Y,Oats,0.0,1755.09,Robert Smith
2004.0,Andersonport,Y,Wheat,0.0,972.46,Vanessa Coleman
2005.0,Andersonport,Y,Oats,0.0,1674.18,Kimberly Wagner
2005.0,Josephfurt,N,Oats,0.0,1485.51,Karen Williams MD
2005.0,Williamhaven,Y,Oats,0.0,1748.43,Robert Smith
2006.0,Andersonport,Y,Oats,0.0,1673.94,Courtney Dean
2006.0,Williamhaven,Y,Oats,0.0,1759.73,Robert Smith
2006.0,Josephfurt,N,Oats,0.0,1490.38,Karen Williams MD
2007.0,Andersonport,Y,Wheat,0.0,990.6,Courtney Dean
2007.0,Josephfurt,N,Wheat,0.0,784.36,Victoria Taylor DDS
2007.0,Williamhaven,Y,Oats,0.0,1763.74,Amy Sanchez
2008.0,Williamhaven,Y,Maize,0.0,1468.54,Matthew Gray
2008.0,Josephfurt,N,Wheat,1.0,783.47,Jamie Sanchez
2008.0,Andersonport,Y,Wheat,0.0,986.77,Courtney Dean
2009.0,Williamhaven,Y,Wheat,0.0,1063.43,Matthew Gray
2009.0,Josephfurt,N,Oats,1.0,1484.65,Chad Gillespie
2009.0,Andersonport,Y,Wheat,0.0,977.1,Jennifer Adams
2010.0,Williamhaven,Y,Wheat,0.0,1069.87,Matthew Gray
2010.0,Josephfurt,N,Maize,1.0,1181.35,Chad Gillespie
2010.0,Andersonport,Y,Wheat,0.0,972.6,Jennifer Adams
2011.0,Williamhaven,Y,Wheat,0.0,1062.95,David Fowler
2011.0,Josephfurt,N,Maize,1.0,1179.61,Destiny Mays
2011.0,Andersonport,Y,Maize,0.0,1380.15,Jennifer Adams
2012.0,Andersonport,Y,Maize,0.0,1381.74,Jennifer Adams
2012.0,Williamhaven,Y,Wheat,0.0,1065.26,David Fowler
2012.0,Josephfurt,N,Oats,1.0,1481.92,Destiny Mays
2013.0,Josephfurt,N,Oats,1.0,1476.3,Joseph Vega
2013.0,Williamhaven,Y,Oats,0.0,1766.79,David Fowler
2013.0,Andersonport,Y,Maize,0.0,1373.87,Garrett Vincent
2014.0,Williamhaven,Y,Maize,0.0,1463.82,David Fowler
2014.0,Josephfurt,N,Maize,1.0,1181.6,Joseph Vega
2014.0,Andersonport,Y,Oats,0.0,1691.25,Garrett Vincent
2015.0,Williamhaven,Y,Oats,0.0,1761.51,David Fowler
2015.0,Josephfurt,N,Maize,1.0,1175.19,Mary Saunders
2015.0,Andersonport,Y,Oats,0.0,1692.58,Chris Valenzuela
2016.0,Andersonport,Y,Oats,0.0,1703.57,Chris Valenzuela
2016.0,Williamhaven,Y,Wheat,0.0,1076.14,Krista Holmes
2016.0,Josephfurt,N,Wheat,1.0,781.31,Mary Saunders
2017.0,Andersonport,Y,Maize,0.0,1401.2,Chris Valenzuela
2017.0,Josephfurt,N,Wheat,1.0,773.3,Perry Powell
2017.0,Williamhaven,1,Wheat,0.0,1073.25,Sarah Nichols
2018.0,Williamhaven,Y,Oats,0.0,1769.62,Sarah Nichols
2018.0,Andersonport,Y,Oats,0.0,1703.12,Jennifer Wilson
2018.0,Josephfurt,N,Maize,1.0,1173.82,Perry Powell
2019.0,Josephfurt,N,Oats,1.0,1467.49,Pamela Gibson
2019.0,Andersonport,Y,Oats,0.0,1701.68,Jennifer Wilson
2019.0,Williamhaven,Y,Maize,0.0,1473.33,Jessica Peterson
